canonical_facility_id,location_id,source_system,source_facility_id,source_record_type,official_name,display_name,normalized_name,operator_name,address_street1,address_street1_normalized,city,state,postal_code,borough_code,borough_name,geography_id,neighborhood_name,neighborhood_code,community_board,council_district,census_tract,boro_block_lot,bin,latitude,longitude,coordinate_source,coordinate_confidence,facility_type,facility_grouping,high_level_category,category,organization_name_type,observation_count,latest_inspection_date,latest_inspection_type,latest_violations_all,latest_violations_phh,latest_violations_critical,latest_violations_general,alternate_names,normalized_crosswalk_names,normalized_address_variants,preferred_keys
nyc-facility-40425869,nyc-loc-40425869,nyc-pool-inspection-tableau,40425869,Indoor,SALON DU TOKYO INC,SALON DU TOKYO INC,salon du tokyo inc,,200 WEST 57 STREET,200 w 57 st,New York,NY,10019,MA,Manhattan,manhattan,Midtown-Midtown South,MN17,105,4,13700,1010280033,1024896,40.765621,-73.980315,tableau-hyper:Lat/Long,high,indoor,SALON DU TOKYO INC,Private Club,Private Club,,1,2019-01-14,Routine Inspection,0,0,0,0,SALON DU TOKYO INC,salon du tokyo inc,200 w 57 st|w 57 st,source_id:40425869|source:accela:40425869|location_id:nyc-loc-40425869|bin:1024896|bbl:1010280033|name:salon du tokyo inc|name_zip:salon du tokyo inc|10019|name_geo:salon du tokyo inc|manhattan|name_address_zip:salon du tokyo inc|200 w 57 st|10019|name_address_zip:salon du tokyo inc|w 57 st|10019|address_zip:200 w 57 st|10019|address_geo:200 w 57 st|manhattan|address_zip:w 57 st|10019|address_geo:w 57 st|manhattan
nyc-facility-40425871,nyc-loc-40425871,nyc-pool-inspection-tableau,40425871,Indoor,THE UNION LEAGUE CLUB,THE UNION LEAGUE CLUB,the union league club,,38 EAST 37 STREET,38 e 37 st,New York,NY,10016,MA,Manhattan,manhattan,Murray Hill-Kips Bay,MN20,106,4,8200,1008660042,1017184,40.749451,-73.981103,tableau-hyper:Lat/Long,high,indoor,THE UNION LEAGUE CLUB,Private Club,Private Club,,1,2019-01-24,Routine Inspection,0,0,0,0,THE UNION LEAGUE CLUB,the union league club,38 e 37 st|e 37 st,source_id:40425871|source:accela:40425871|location_id:nyc-loc-40425871|bin:1017184|bbl:1008660042|name:the union league club|name_zip:the union league club|10016|name_geo:the union league club|manhattan|name_address_zip:the union league club|38 e 37 st|10016|name_address_zip:the union league club|e 37 st|10016|address_zip:38 e 37 st|10016|address_geo:38 e 37 st|manhattan|address_zip:e 37 st|10016|address_geo:e 37 st|manhattan
nyc-facility-40425906,nyc-loc-40425906,nyc-pool-inspection-tableau,40425906,Indoor,CHURCHHILL OWNERS CORP.,CHURCHHILL OWNERS CORP.,churchhill owners corp,,300 EAST 40 STREET,300 e 40 st,New York,NY,10016,MA,Manhattan,manhattan,Turtle Bay-East Midtown,MN19,106,4,8800,1009457501,1022051,40.748473,-73.973022,tableau-hyper:Lat/Long,high,indoor,CHURCHILL OWNERS CORP,Private Res.,Private Res.,,1,2019-12-26,Routine Inspection,0,0,0,0,CHURCHHILL OWNERS CORP.,churchhill owners corp,300 e 40 st|e 40 st,source_id:40425906|source:accela:40425906|location_id:nyc-loc-40425906|bin:1022051|bbl:1009457501|name:churchhill owners corp|name_zip:churchhill owners corp|10016|name_geo:churchhill owners corp|manhattan|name_address_zip:churchhill owners corp|300 e 40 st|10016|name_address_zip:churchhill owners corp|e 40 st|10016|address_zip:300 e 40 st|10016|address_geo:300 e 40 st|manhattan|address_zip:e 40 st|10016|address_geo:e 40 st|manhattan
nyc-facility-40425951,nyc-loc-40425951,nyc-pool-inspection-tableau,40425951,Indoor,THE CORONADO CONDOMINIUM,THE CORONADO CONDOMINIUM,the coronado condominium,,155 WEST 70 STREET,155 w 70 st,New York,NY,10023,MA,Manhattan,manhattan,Lincoln Square,MN14,107,6,15700,1011427502,1029749,40.776817,-73.981431,tableau-hyper:Lat/Long,high,indoor,THE CORONADO CONDOMINIUM,Private Res.,Private Res.,,1,2019-07-01,Routine Inspection,0,0,0,0,THE CORONADO CONDOMINIUM,the coronado condominium,155 w 70 st|w 70 st,source_id:40425951|source:accela:40425951|location_id:nyc-loc-40425951|bin:1029749|bbl:1011427502|name:the coronado condominium|name_zip:the coronado condominium|10023|name_geo:the coronado condominium|manhattan|name_address_zip:the coronado condominium|155 w 70 st|10023|name_address_zip:the coronado condominium|w 70 st|10023|address_zip:155 w 70 st|10023|address_geo:155 w 70 st|manhattan|address_zip:w 70 st|10023|address_geo:w 70 st|manhattan
nyc-facility-40425955,nyc-loc-40425955,nyc-pool-inspection-tableau,40425955,Indoor,TSI LINCOLN INC,TSI LINCOLN INC,tsi lincoln inc,Private Res. - Sports Mgmt Co.,61 WEST 62 STREET,61 w 62 st,New York,NY,10023,MA,Manhattan,manhattan,Lincoln Square,MN14,107,3,14900,1011157502,1027461,40.770817,-73.982739,tableau-hyper:Lat/Long,high,indoor,TSI LLC,Private Res.,Private Res.,Private Res. - Sports Mgmt Co.,1,2019-12-26,Routine Inspection,1,0,0,1,TSI LINCOLN INC,tsi lincoln inc,61 w 62 st|w 62 st,source_id:40425955|source:accela:40425955|location_id:nyc-loc-40425955|bin:1027461|bbl:1011157502|name:tsi lincoln inc|name_zip:tsi lincoln inc|10023|name_geo:tsi lincoln inc|manhattan|name_address_zip:tsi lincoln inc|61 w 62 st|10023|name_address_zip:tsi lincoln inc|w 62 st|10023|address_zip:61 w 62 st|10023|address_geo:61 w 62 st|manhattan|address_zip:w 62 st|10023|address_geo:w 62 st|manhattan
nyc-facility-40425958,nyc-loc-40425958,nyc-pool-inspection-tableau,40425958,Indoor,TSI COBBLE HILL INC.,TSI COBBLE HILL INC.,tsi cobble hill inc,Private Res. - Sports Mgmt Co.,110 BOERUM PLACE,110 boerum pl,New York,NY,11201,BK,Brooklyn,brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,BK38,302,33,4300,3002790001,3002816,40.688203,-73.99135,tableau-hyper:Lat/Long,high,indoor,TSI LLC,Private Res.,Private Res.,Private Res. - Sports Mgmt Co.,1,2019-07-23,Routine Inspection,4,0,3,1,TSI COBBLE HILL INC.,tsi cobble hill inc,110 boerum pl|boerum pl,source_id:40425958|source:accela:40425958|location_id:nyc-loc-40425958|bin:3002816|bbl:3002790001|name:tsi cobble hill inc|name_zip:tsi cobble hill inc|11201|name_geo:tsi cobble hill inc|brooklyn|name_address_zip:tsi cobble hill inc|110 boerum pl|11201|name_address_zip:tsi cobble hill inc|boerum pl|11201|address_zip:110 boerum pl|11201|address_geo:110 boerum pl|brooklyn|address_zip:boerum pl|11201|address_geo:boerum pl|brooklyn
nyc-facility-40425974,nyc-loc-40425974,nyc-pool-inspection-tableau,40425974,Outdoor,BRIAR HILL COUNTRY CLUB INC,BRIAR HILL COUNTRY CLUB INC,briar hill country club inc,,600 WEST 246 STREET,600 w 246 st,New York,NY,10471,BX,Bronx,bronx,North Riverdale-Fieldston-Riverdale,BX22,208,11,30701,2059090825,2091924,40.892608,-73.910206,tableau-hyper:Lat/Long,high,outdoor,BRIAR HILL COUNTRY CLUB INC,Private Club,Private Club,,1,2019-08-02,Routine Inspection,0,0,0,0,BRIAR HILL COUNTRY CLUB INC,briar hill country club inc,600 w 246 st|w 246 st,source_id:40425974|source:accela:40425974|location_id:nyc-loc-40425974|bin:2091924|bbl:2059090825|name:briar hill country club inc|name_zip:briar hill country club inc|10471|name_geo:briar hill country club inc|bronx|name_address_zip:briar hill country club inc|600 w 246 st|10471|name_address_zip:briar hill country club inc|w 246 st|10471|address_zip:600 w 246 st|10471|address_geo:600 w 246 st|bronx|address_zip:w 246 st|10471|address_geo:w 246 st|bronx
nyc-facility-40425977,nyc-loc-40425977,nyc-pool-inspection-tableau,40425977,Outdoor,GREAT KILLS SWIM CLUB INC,GREAT KILLS SWIM CLUB INC,great kills swim club inc,,27 NAHANT STREET,27 nahant st,New York,NY,10308,SI,Staten Island,staten-island,Great Kills,SI54,503,51,14605,5045770019,5107650,40.559069,-74.146717,tableau-hyper:Lat/Long,high,outdoor,GREAT KILLS SWIM CLUB INC,Private Club,Private Club,,1,2019-08-22,Routine Inspection,1,0,0,1,GREAT KILLS SWIM CLUB INC,great kills swim club inc,27 nahant st|nahant st,source_id:40425977|source:accela:40425977|location_id:nyc-loc-40425977|bin:5107650|bbl:5045770019|name:great kills swim club inc|name_zip:great kills swim club inc|10308|name_geo:great kills swim club inc|staten-island|name_address_zip:great kills swim club inc|27 nahant st|10308|name_address_zip:great kills swim club inc|nahant st|10308|address_zip:27 nahant st|10308|address_geo:27 nahant st|staten-island|address_zip:nahant st|10308|address_geo:nahant st|staten-island
nyc-facility-40425978,nyc-loc-40425978,nyc-pool-inspection-tableau,40425978,Outdoor,LAWRENCE LEVINE & LEONARD FRANKEL,LAWRENCE LEVINE & LEONARD FRANKEL,lawrence levine and leonard frankel,,3135 JOHNSON AVENUE,3135 johnson ave,New York,NY,10463,BX,Bronx,bronx,Spuyten Duyvil-Kingsbridge,BX29,208,11,29700,2057390257,2083422,40.882607,-73.910805,tableau-hyper:Lat/Long,high,outdoor,LAWRENCE LEVINE & LEONARD FRANKEL,Private Res.,Private Res.,,1,2019-08-20,Routine Inspection,1,0,0,1,LAWRENCE LEVINE & LEONARD FRANKEL,lawrence levine and leonard frankel,3135 johnson ave|johnson ave,source_id:40425978|source:accela:40425978|location_id:nyc-loc-40425978|bin:2083422|bbl:2057390257|name:lawrence levine and leonard frankel|name_zip:lawrence levine and leonard frankel|10463|name_geo:lawrence levine and leonard frankel|bronx|name_address_zip:lawrence levine and leonard frankel|3135 johnson ave|10463|name_address_zip:lawrence levine and leonard frankel|johnson ave|10463|address_zip:3135 johnson ave|10463|address_geo:3135 johnson ave|bronx|address_zip:johnson ave|10463|address_geo:johnson ave|bronx
nyc-facility-40425979,nyc-loc-40425979,nyc-pool-inspection-tableau,40425979,Outdoor,DOUGLASTON CLUB INC,DOUGLASTON CLUB INC,douglaston club inc,,600 WEST DRIVE,600 w dr,New York,NY,11363,QU,Queens,queens,Douglas Manor-Douglaston-Little Neck,QN45,411,19,148300,4080310001,4168135,40.77633,-73.752835,tableau-hyper:Lat/Long,high,outdoor,DOUGLASTON CLUB INC,Private Club,Private Club,,1,2019-08-23,Routine Inspection,0,0,0,0,DOUGLASTON CLUB INC,douglaston club inc,600 w dr|w dr,source_id:40425979|source:accela:40425979|location_id:nyc-loc-40425979|bin:4168135|bbl:4080310001|name:douglaston club inc|name_zip:douglaston club inc|11363|name_geo:douglaston club inc|queens|name_address_zip:douglaston club inc|600 w dr|11363|name_address_zip:douglaston club inc|w dr|11363|address_zip:600 w dr|11363|address_geo:600 w dr|queens|address_zip:w dr|11363|address_geo:w dr|queens
